Username,Date,Star rating,Comment,Link
Jesús Eduardo  Rico Sandoval,05-Apr-18 7:04:37 AM,none,Alguien que me pueda ayudar con la parte de la funcionalidad del Delele... el alertity no me aparece y la funcion del Delete no hace nada!!!,https://www.youtube.com/iublAXAm8HQ
nihari reddy,03-Apr-18 9:37:40 PM,none,Server Error in &#39;/&#39; Application.<br />No MediaTypeFormatter is available to read an object of type &#39;IEnumerable`1&#39; from content with media type &#39;text/html&#39;.<br />Description: An unhandled exception occurred during the execution of the current web request. Please review the stack trace for more information about the error and where it originated in the code. <br /><br />Exception Details: System.Net.Http.UnsupportedMediaTypeException: No MediaTypeFormatter is available to read an object of type &#39;IEnumerable`1&#39; from content with media type &#39;text/html&#39;.<br /><br />Source Error: <br /><br /><br />Line 16:             IEnumerable&lt;MVCemployeeModel&gt; empList;<br />Line 17:             HttpResponseMessage response = GlobalVariables.webApiclient.GetAsync(&quot;Employee&quot;).Result;<br />Line 18:             empList = response.Content.ReadAsAsync&lt;IEnumerable&lt;MVCemployeeModel&gt;&gt;().Result;<br />Line 19:             return View(empList);<br />Line 20:         }<br /><br /><br />This is THE ERROR,https://www.youtube.com/iublAXAm8HQ
Popeta M,25-Mar-18 3:32:05 PM,none,This is what I&#39;m looking for. Just subcribed and iked... thanks man! :),https://www.youtube.com/iublAXAm8HQ
muralidhar kumar,23-Mar-18 4:17:21 AM,none,Hello Teacher Its really a wonderful video. I am looking for the css that you applied,https://www.youtube.com/iublAXAm8HQ
A S,21-Mar-18 12:54:09 PM,none,Great tutorial as always!,https://www.youtube.com/iublAXAm8HQ
asifa malik,19-Mar-18 10:39:31 AM,none,very help full video    but i found error       &#39;No MediaTypeFormatter is available to read an object of type &#39;IEnumerable`1&#39; from content with media type &#39;text/html&#39;.   can u help??<br />&#39;,https://www.youtube.com/iublAXAm8HQ
asifa malik,16-Mar-18 1:18:15 PM,none,in Visual Studio 2015  ReadAsAsnc() in not present     ReadAsstreamAsnc()   is present but not working  can u tell me Solution i did but found error,https://www.youtube.com/iublAXAm8HQ
Yogesh Bisht,24-Feb-18 3:34:54 AM,none,Really its very helpful vedio using CURD opertion using web api..thanks.,https://www.youtube.com/iublAXAm8HQ
Raymond Agbunag,18-Feb-18 3:42:55 PM,none,Teacher thank you so much!,https://www.youtube.com/iublAXAm8HQ
Ronald Anthonisamy,16-Feb-18 2:56:42 PM,none,Where can i get the link for the CSS that is being used in this tutorial ? btw great video !!,https://www.youtube.com/iublAXAm8HQ
Yoni Probeh,14-Feb-18 5:49:16 AM,none,Great Tutorial Man Awesome Job!,https://www.youtube.com/iublAXAm8HQ
Gino N,10-Feb-18 10:54:06 PM,none,Is this able to do it with a windows form app? Thank you!,https://www.youtube.com/iublAXAm8HQ
Edwin Navas,02-Feb-18 9:41:30 PM,none,The best tutorial I&#39;ve seen good job you example is the best example I&#39;ve seen only I some question can I use a Web Services with Entity Framework action  ? if you have any example for this kind problem is a good idea you try to explain my second question is when I made my CRUB I have a item of datetime type I use a datepicker but I have a problem whit the day when the day is major or equal to 13 I save the day in this format &quot;mm/dd/yy&quot; but when I recive the day in my controller I recive a parameter null Why can you explain me this please? what I need to do for fix this problem; my last question is How to remove the hour in a field datetime thank you,https://www.youtube.com/iublAXAm8HQ
Al Imran,01-Feb-18 9:22:00 AM,none,No MediaTypeFormatter  show me <br />how it fix???? :(,https://www.youtube.com/iublAXAm8HQ
